id,Location,Area,Bedrooms,Baths,Price
0,F-8,26.0,4.0,5.0,420000
1,DHA,11.0,3.0,4.0,100000
2,F-8,26.0,4.0,5.0,650000
3,F-6,20.0,6.0,6.0,450000
4,D-17,10.0,9.0,6.0,120000
5,Bahria,5.0,4.0,5.0,70000
6,F-11,20.0,4.0,5.0,350000
7,F-7,40.0,5.0,6.0,2900000
8,DHA,20.0,6.0,6.0,280000
9,I-8,10.0,5.0,6.0,275000
10,F-8,26.0,5.0,6.0,760000
11,F-11,20.0,9.0,,810000
12,E-7,26.0,8.0,,950000
13,DHA,11.0,,,100000
14,E-7,26.0,6.0,6.0,1100000
15,DHA,8.0,,,45000
16,F-6,26.0,6.0,6.0,1100000
17,F-10,26.0,4.0,5.0,450000
18,F-8,42.0,6.0,6.0,1200000
19,Kuri,20.0,10.0,6.0,210000
20,E-7,26.0,5.0,6.0,620000
21,Bahria,10.0,5.0,6.0,150000
22,F-8,26.0,5.0,6.0,800000
23,F-6,36.0,6.0,6.0,650000
24,DHA,20.0,6.0,6.0,280000
25,I-8,20.0,4.0,3.0,450000
26,E-7,24.0,5.0,5.0,450000
27,F-8,26.0,5.0,6.0,600000
28,F-7,26.0,6.0,6.0,1100000
29,F-7,36.0,4.0,5.0,650000
30,Bahria,10.0,,,130000
31,I-8,12.4,6.0,6.0,275000
32,I-8,14.0,6.0,6.0,280000
33,Bahria,5.0,,,75000
34,F-8,20.0,5.0,5.0,850000
35,F-6,26.0,5.0,6.0,600000
36,DHA,12.0,3.0,4.0,100000
37,F-7,22.0,,,1751000
38,Bahria,5.0,3.0,4.0,65000
39,G-13,4.0,4.0,4.0,110000
40,Bahria,5.0,,,65000
41,G-13,4.0,4.0,4.0,110000
42,Bahria,10.0,,,150000
43,G-13,12.0,6.0,6.0,300000
44,G-13,12.0,6.0,6.0,300000
45,G-13,12.0,6.0,6.0,229999
46,Bahria,10.0,,,130000
47,F-7,48.0,5.0,6.0,1300000
48,Bahria,5.0,3.0,4.0,65000
